signal_date,symbol,name,market,sector,industry,profiles_containing_symbol,intended_entry_price,limit_up_price,max_planned_shares_across_profiles,profile_specific_rows_needed,template_exists,template_path,instruction_file_path,observe_best_bid_near_close,observe_best_ask_near_close,observe_visible_bid_size,observe_visible_ask_size,observe_whether_limit_up_locked,observe_whether_hypothetical_limit_order_would_fill,record_screenshot_path,record_notes
2026-06-24,2312,金寶,TWSE,Technology/Electronics,Other Electronics,broad_challenger_097dd332,38.0,38.0,5000,1,True,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_template.csv,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-06-24,2483,百容,TWSE,Technology/Electronics,Electronic Components,broad_challenger_097dd332,46.1,46.1,4000,1,True,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_template.csv,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-06-24,3094,聯傑,TWSE,Technology/Electronics,Semiconductor,broad_challenger_097dd332,45.25,45.2,4000,1,True,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_template.csv,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-06-24,6695,芯鼎,TWSE,Technology/Electronics,Semiconductor,broad_challenger_097dd332,68.9,68.5,2000,1,True,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_template.csv,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-06-24,8105,凌巨,TWSE,Technology/Electronics,Optoelectronics,broad_challenger_097dd332,23.5,23.5,8000,1,True,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_template.csv,reports/live_signals/manual_fill_observations_2026-06-24_broad_challenger_097dd332_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-01,8182,加高,TPEX,Technology/Electronics,Electronic Components,"broad_challenger_097dd332, conservative_tpex_35adc734, original_champion_tpex_500m",54.0,54.0,3000,3,True,reports/live_signals/manual_fill_observations_2026-07-01_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-01_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-01,1515,力山,TWSE,Industrials/Other,Electric Machinery,broad_challenger_097dd332,35.45,35.4,5000,1,True,reports/live_signals/manual_fill_observations_2026-07-01_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-01_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-01,3605,宏致,TWSE,Technology/Electronics,Electronic Components,broad_challenger_097dd332,85.6,85.5,2000,1,True,reports/live_signals/manual_fill_observations_2026-07-01_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-01_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-01,6224,聚鼎,TWSE,Technology/Electronics,Electronic Components,broad_challenger_097dd332,84.9,84.5,2000,1,True,reports/live_signals/manual_fill_observations_2026-07-01_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-01_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-01,6909,創控,TWSE,Technology/Electronics,Semiconductor,broad_challenger_097dd332,60.6,60.5,3000,1,True,reports/live_signals/manual_fill_observations_2026-07-01_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-01_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-02,3317,尼克森,TPEX,Technology/Electronics,Semiconductor,"broad_challenger_097dd332, original_champion_tpex_500m",97.3,97.0,2000,2,True,reports/live_signals/manual_fill_observations_2026-07-02_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-02_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-02,1515,力山,TWSE,Industrials/Other,Electric Machinery,broad_challenger_097dd332,38.95,38.9,5000,1,True,reports/live_signals/manual_fill_observations_2026-07-02_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-02_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-02,2302,麗正,TWSE,Technology/Electronics,Semiconductor,broad_challenger_097dd332,55.4,55.0,3000,1,True,reports/live_signals/manual_fill_observations_2026-07-02_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-02_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-02,2484,希華,TWSE,Technology/Electronics,Electronic Components,broad_challenger_097dd332,87.7,87.5,2000,1,True,reports/live_signals/manual_fill_observations_2026-07-02_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-02_instructions.md,required,required,required,required,required,required,recommended,recommended
2026-07-02,6133,金橋,TWSE,Technology/Electronics,Electronic Components,broad_challenger_097dd332,26.25,26.2,7000,1,True,reports/live_signals/manual_fill_observations_2026-07-02_all_profiles_template.csv,reports/live_signals/manual_fill_observations_2026-07-02_instructions.md,required,required,required,required,required,required,recommended,recommended
